Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured1,Yield_kg_per_ha,altura,compaction_level,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,1,1,462963.9972,5804199.955,67.40379333,6740,49.51567459,middle,72.72037612,22.17674989,5.102873988,0,30,30,SL2,1.059515353,1.346553065
Boosen,1,2,462972.2956,5804251.932,67.40379333,6740,49.51567459,middle,73.50013202,20.39200038,6.107867602,30,60,30,SL2,0.324905899,1.455141978
Boosen,1,3,463041.6139,5804235.637,67.40379333,6740,49.51567459,middle,75.56029934,15.67713739,8.76256327,60,90,30,SL3,0.207753468,1.474613059
Boosen,1,4,463016.0501,5804159.75,67.40379333,6740,49.51567459,middle,75.56029934,15.67713739,8.76256327,90,200,110,SL3,0.207753468,1.474613059
Boosen,2,1,463016.8827,5804173.997,68.10771942,6811,49.43175888,middle,71.94318702,21.60872002,6.448092956,0,30,30,SL2,1.132378794,1.335395087
Boosen,2,2,463032.1743,5804212.888,68.10771942,6811,49.43175888,middle,72.49603857,19.94295974,7.561001692,30,60,30,SL3,0.463817891,1.431584579
Boosen,2,3,463045.5555,5804236.892,68.10771942,6811,49.43175888,middle,73.96062304,16.92340394,9.115973014,60,90,30,SL3,0.129049214,1.486132257
Boosen,2,4,463027.6312,5804164.519,68.10771942,6811,49.43175888,middle,73.96062304,16.92340394,9.115973014,90,200,110,SL3,0.129049214,1.486132257
Boosen,3,1,463063.6424,5804157.101,64.2858963,6429,49.35645294,middle,71.94586594,21.76703481,6.287099256,0,30,30,SL2,1.121075375,1.336988259
Boosen,3,2,462998.8926,5804207.161,64.2858963,6429,49.35645294,middle,72.28178113,20.15858237,7.559636498,30,60,30,SL3,0.537172596,1.420096264
Boosen,3,3,462989.5062,5804216.228,64.2858963,6429,49.35645294,middle,72.30636426,18.97917791,8.714457828,60,90,30,SL3,0.103538791,1.489197029
Boosen,3,4,463018.2125,5804196.738,64.2858963,6429,49.35645294,middle,72.30636426,18.97917791,8.714457828,90,200,110,SL3,0.103538791,1.489197029
Boosen,4,1,463024.564,5804205.043,72.38168335,7238,49.30966187,middle,72.63343238,22.00074423,5.365823395,0,30,30,SL2,1.170811555,1.331456498
Boosen,4,2,463035.2516,5804246.919,72.38168335,7238,49.30966187,middle,72.9278405,20.59580284,6.476356661,30,60,30,SL2,0.582363061,1.414348185
Boosen,4,3,463006.0325,5804247.838,72.38168335,7238,49.30966187,middle,72.39114769,18.3339806,9.27487171,60,90,30,SL3,0.132570482,1.484095999
Boosen,4,4,463033.9199,5804157.611,72.38168335,7238,49.30966187,middle,72.39114769,18.3339806,9.27487171,90,200,110,SL3,0.132570482,1.484095999
Boosen,5,1,463030.8522,5804225.486,63.46094131,6346,49.3531189,middle,72.00250233,22.46143578,5.536061889,0,30,30,SL2,1.159186416,1.332357507
Boosen,5,2,463014.2465,5804185.079,63.46094131,6346,49.3531189,middle,72.34256503,21.09963802,6.557796941,30,60,30,SL2,0.463817891,1.431969311
Boosen,5,3,463095.5285,5804184.638,63.46094131,6346,49.3531189,middle,73.49734534,17.97558309,8.527071565,60,90,30,SL3,0.129049214,1.486033916
Boosen,5,4,463086.0188,5804212.247,63.46094131,6346,49.3531189,middle,73.49734534,17.97558309,8.527071565,90,200,110,SL3,0.129049214,1.486033916
Boosen,6,1,463030.7864,5804186.918,60.41898727,6042,49.50222015,middle,72.99020015,21.18270968,5.827090167,0,30,30,SL2,1.287340014,1.316346783
Boosen,6,2,463007.2312,5804169.695,60.41898727,6042,49.50222015,middle,73.58502636,19.27006559,7.144908058,30,60,30,SL2,0.226066769,1.470720227
Boosen,6,3,463068.8925,5804243.322,60.41898727,6042,49.50222015,middle,75.06746485,15.51678104,9.415754113,60,90,30,SL3,0.065074381,1.497756537
Boosen,6,4,463052.1348,5804247.961,60.41898727,6042,49.50222015,middle,75.06746485,15.51678104,9.415754113,90,200,110,SL3,0.065074381,1.497756537
Boosen,7,1,463046.6048,5804190.214,67.86582947,6787,49.72583389,middle,71.96857811,19.43965761,8.59176428,0,30,30,SL3,0.984815065,1.354305249
Boosen,7,2,462996.4922,5804200.905,67.86582947,6787,49.72583389,middle,72.53270614,17.54752899,9.919764862,30,60,30,SL3,0.324081964,1.452465319
