iso-date,tmin,tavg,tmax,precip,globrad,wind,relhumid,vaporpress,dewpoint_temp,relhumid_tmin,relhumid_tmax
-,°C,°C,°C,mm ,MJ m-2,m s-1,%,kPa,Â°C,% 0-100,% 0-100
2019-01-01,3.6,6.8,9,2.1,1.26,8,79,999.9,999.9,999.9,999.9
2019-01-02,-2.1,1.9,4.1,0.4,2.115,5.65,65.38,999.9,999.9,999.9,999.9
2019-01-03,-4.8,-1,1.6,0.2,2.1,3.55,81.04,999.9,999.9,999.9,999.9
2019-01-04,-5.1,0.9,4.5,2.8,0.555,4.1,90.25,999.9,999.9,999.9,999.9
2019-01-05,1.4,5,6.6,0.2,1.49,3.7,88.75,999.9,999.9,999.9,999.9
2019-01-06,0.8,1.8,2.8,0,1.455,1.9,82.71,999.9,999.9,999.9,999.9
2019-01-07,-1.1,2.1,5.1,7.3,0.96,2.65,92.54,999.9,999.9,999.9,999.9
2019-01-08,2.6,5,6.4,11.2,0.815,7.2,87.21,999.9,999.9,999.9,999.9
2019-01-09,1.2,2.9,4.2,5.8,0.76,4.85,90.79,999.9,999.9,999.9,999.9
2019-01-10,-3.3,1,2.9,0,1.965,2.95,84.5,999.9,999.9,999.9,999.9
2019-01-11,-2.4,1.3,5.2,1.3,0.715,4.3,90.79,999.9,999.9,999.9,999.9
2019-01-12,3.4,4.8,6.3,3.1,1.31,5.25,86.42,999.9,999.9,999.9,999.9
2019-01-13,4.9,6.2,8,7,0.72,6.6,88.25,999.9,999.9,999.9,999.9
2019-01-14,-1.9,1.8,5.7,0.6,3.225,8.05,71.88,999.9,999.9,999.9,999.9
2019-01-15,0.4,3.7,7.1,3.3,0.83,7.7,82.38,999.9,999.9,999.9,999.9
2019-01-16,3.3,6.4,7.5,0.1,0.89,6.2,84.17,999.9,999.9,999.9,999.9
2019-01-17,1.9,4.5,7.4,2.1,2.315,5.4,78.88,999.9,999.9,999.9,999.9
2019-01-18,-1.8,0.2,2.7,0,5.035,4.55,79.33,999.9,999.9,999.9,999.9
2019-01-19,-6.2,-2.6,1.7,0,4.76,1.95,87.46,999.9,999.9,999.9,999.9
2019-01-20,-6.5,-4.5,-2.4,0,3.88,1.65,92,999.9,999.9,999.9,999.9
2019-01-21,-4.8,-3.7,-2.6,0,2.18,2.6,87.08,999.9,999.9,999.9,999.9
2019-01-22,-6,-3.7,0.2,0,5.51,2.8,81.67,999.9,999.9,999.9,999.9
2019-01-23,-7.6,-5.3,-3.1,0,1.73,4.15,80.67,999.9,999.9,999.9,999.9
2019-01-24,-6.7,-4.5,-3.2,0,1.295,2.95,76.5,999.9,999.9,999.9,999.9
